"FLUENCIA","RES_TRA","RELACION","ALARGA","PE_MET"
473,647,1.37,18.2,7.685
498,662,1.33,16.1,7.706
497,670,1.35,16.4,7.767
500,671,1.34,16,7.713
314,443,0,23.8,0
312,441,0,22.6,0
310,437,0,22.4,0
315,443,0,23.4,0
304,438,0,22.7,0
320,450,0,23.7,0
473,592,1.25,17.2,0.941
458,591,1.29,17.4,0.944
481,600,1.25,16.8,0.946
475,603,1.27,17,0.944
457,575,1.26,17,0.948
468,593,1.27,16.8,0.944
462,586,1.27,16.9,0.94
481,609,1.27,16.7,0.948
462,592,1.28,16.4,0.942
465,592,1.27,16.4,0.938
477,603,1.26,17.2,0.94
457,582,1.27,16.6,0.942
457,580,1.27,16.2,0.943
472,596,1.26,17.3,0.947
462,586,1.27,17.4,0.954
481,601,1.25,16.6,0.945
475,597,1.26,16.6,0.951
471,602,1.28,16.3,0.952
469,598,1.28,18.1,0.94
472,591,1.25,16.7,0.939
463,589,1.27,16.4,0.944
472,596,1.26,17.3,0.947
490,628,1.28,17.4,3.805
314,443,0,23.8,0
285,412,0,23.4,0
332,459,0,23,0
320,450,0,23.7,0
333,466,0,23.5,0
333,458,0,23.2,0
448,626,1.4,15.1,0.214
438,598,1.37,15.7,0.215
438,623,1.42,15.7,0.218
444,619,1.39,15.5,0.212
454,647,1.43,14.2,0.22
479,670,1.4,14.7,0.842
485,691,1.42,15.1,0.844
475,666,1.4,14.2,0.941
449,686,1.53,14.9,0.951
475,659,1.39,14.3,0.938
467,594,1.27,18.9,0.544
478,619,1.3,18,0.539
484,618,1.28,17.4,0.53
498,623,1.25,16.1,0.531
475,606,1.28,17.3,0.951
492,618,1.26,17.1,0.947
475,603,1.27,17,0.944
462,586,1.27,16.9,0.94
478,611,1.28,17.7,0.941
477,603,1.26,17.2,0.94
463,589,1.27,16.4,0.944
484,606,1.25,16.1,0.941
473,596,1.26,15.7,0.954
471,596,1.26,16.4,0.944
472,592,1.25,16.5,0.945
483,604,1.25,15.6,0.944
462,583,1.26,16.5,0.946
476,608,1.28,17.8,0.951
481,600,1.25,16.8,0.946
475,597,1.26,16.6,0.951
460,587,1.27,17.4,0.95
420,698,0,19.4,8.962
453,601,1.33,17.4,0.532
457,594,1.3,16.8,0.53
462,595,1.29,16,0.53
478,619,1.29,18,0.539
484,618,1.28,17.4,0.53
498,623,1.25,16.1,0.531
461,590,1.28,15.1,0.534
478,597,1.25,16.6,0.532
480,598,1.25,15.3,0.53
475,608,1.28,16.9,0.53
468,597,1.28,16.8,0.532
460,574,1.25,16.5,0.531
457,594,1.3,16.8,0.53
462,595,1.29,16,0.53
492,622,1.26,17.1,0.532
490,633,1.29,16.6,0.533
477,613,1.29,16.8,0.536
462,596,1.29,17.3,0.533
488,608,1.25,16.9,0.953
476,608,1.28,17.8,0.951
457,590,1.29,16.2,3.825
474,685,1.45,14.7,0.98
391,509,0,28.5,4.67
389,511,0,29.3,4.63
374,498,0,29.7,4.676
375,508,0,29.4,7.389
387,524,0,31.1,7.266
376,507,0,29.4,7.328
383,519,0,29.9,7.244
380,517,0,30,7.25
377,510,0,31.2,9.004
386,518,0,31.4,10.541
382,511,0,34.2,10.601
376,508,0,33.8,10.453
455,597,1.31,15.9,0.548
467,589,1.26,17.5,0.957
455,575,1.26,15.8,0.96
464,578,1.25,17.4,0.734
442,588,1.33,17.1,0.544
471,588,1.25,15.5,0.535
475,602,1.27,15.3,0.533
473,597,1.26,16.1,0.534
491,625,1.27,16.4,0.53
453,601,1.33,17.4,0.532
481,600,1.25,15.8,0.532
478,619,1.29,18,0.539
475,608,1.28,16.9,0.53
463,579,1.25,15.7,0.535
460,576,1.25,15.5,0.533
464,586,1.26,15.5,0.532
479,615,1.28,15.2,0.534
490,618,1.26,15.3,0.531
473,597,1.26,16.1,0.534
491,625,1.27,16.4,0.53
506,631,1.25,15.8,0.531
477,613,1.29,16.8,0.536
462,596,1.29,17.3,0.533
483,606,1.25,15.3,0.534
492,618,1.26,17.1,0.947
472,591,1.25,16.7,0.939
472,591,1.25,16.7,0.939
457,590,1.29,16.2,3.825
497,670,1.35,16.4,7.767
381,496,0,26.5,0.566
485,617,1.27,15.7,0.534
468,593,1.27,15.4,0.533
483,606,1.25,15.3,0.534
472,600,1.27,15.3,0.533
490,618,1.26,15.3,0.531
473,603,1.27,15.3,0.532
489,619,1.27,16.4,0.537
491,616,1.25,15.1,0.536
464,600,1.29,17,0.54
487,613,1.26,16.8,0.538
492,625,1.27,16.7,0.539
491,616,1.25,16.5,0.538
499,627,1.26,16.6,0.536
500,630,1.26,15.9,0.537
366,484,0,26.6,0
329,432,0,24.3,0
392,511,0,24.2,0
398,524,0,22.6,0
389,514,0,25.2,0
372,505,0,24.5,0
380,515,0,27.9,10.032
384,511,0,30.1,9.982
364,514,0,31,12.069
369,519,0,28.4,12.024
367,517,0,28.7,11.996
350,468,0,28.1,0
338,467,0,28.4,0
453,576,1.27,15.1,0.842
464,612,1.32,16.4,0.854
445,583,1.31,16.2,0.844
487,608,1.25,16,0.849
488,617,1.26,16.1,0.862
492,617,1.25,15.7,0.859
464,612,1.32,16.4,0.854
445,583,1.31,16.2,0.844
487,608,1.25,16,0.849
488,617,1.26,16.1,0.862
492,617,1.25,15.7,0.859
471,592,1.26,15.5,1.471
467,591,1.27,16.2,1.469
473,598,1.26,15.8,1.479
482,614,1.27,15.8,1.488
467,591,1.27,16.2,1.469
464,600,1.29,17,0.54
487,613,1.26,16.8,0.538
489,618,1.26,16.4,0.538
498,629,1.26,16.1,0.536
492,625,1.27,16.7,0.539
491,616,1.25,16.5,0.538
499,627,1.26,16.6,0.536
500,630,1.26,15.9,0.537
454,584,1.29,16,0.856
384,503,0,28.4,0
387,510,0,27.9,0
386,502,0,24.7,0
372,505,0,24.5,0
368,501,0,26.1,0
370,495,0,25.9,0
464,592,1.28,16.1,1.476
469,590,1.26,15.5,1.471
474,595,1.25,16.7,1.468
470,596,1.27,16.6,1.48
469,599,1.28,16.8,1.482
475,598,1.26,16.9,1.485
469,586,1.25,16.2,1.472
472,588,1.25,17.5,1.48
467,592,1.27,17.9,1.47
465,591,1.27,16.2,1.47
472,591,1.25,17.4,1.471
477,597,1.25,16.5,1.468
471,594,1.26,16.6,1.473
469,599,1.28,16.1,1.471
476,597,1.26,17.6,1.468
461,589,1.28,17,1.47
471,592,1.26,15.5,1.471
470,596,1.27,16.6,1.48
463,592,1.28,17,1.487
472,588,1.25,17.5,1.483
467,592,1.27,17.9,1.468
465,591,1.27,16.2,1.472
476,595,1.25,16.9,1.467
471,594,1.26,16.6,1.473
